cirp_id,sector,bench,admission_date,resolution_status,duration_days,admitted_claim_cr,realisation_pct,no_of_financial_creditors,resolution_applicants_received,ip_changed,litigation_pending,favourable_outcome,admission_year,log_admitted_claim,applicants_per_creditor,sector_enc,bench_enc
CIRP-00000,Telecom,NCLT Kolkata,2017-06-07,Withdrawn (Sec 12A),354,80.33,63.77,25,14,0,0,1,2017,4.398514952178684,0.56,9,4
CIRP-00001,Others,NCLT Ahmedabad,2022-10-07,Appeal Pending,411,9.82,,112,12,0,0,0,2022,2.3813962734183356,0.10714285714285714,6,0
CIRP-00002,Banking & Finance,NCLT Delhi,2018-05-26,Appeal Pending,187,115.27,,132,15,1,0,0,2018,4.755915072680517,0.11363636363636363,0,2
CIRP-00003,Retail,NCLT Mumbai,2022-09-07,Withdrawn (Sec 12A),432,1113.54,77.43,13,18,1,0,1,2022,7.016197042715746,1.3846153846153846,8,5
CIRP-00004,Banking & Finance,NCLT Ahmedabad,2018-11-10,Withdrawn (Sec 12A),623,32.47,73.4,27,18,0,0,1,2018,3.510649515223235,0.6666666666666666,0,0
CIRP-00005,Healthcare,NCLT Kolkata,2017-09-08,Resolution Plan Approved,996,38.94,39.5,136,14,0,0,1,2017,3.6873783279876693,0.10294117647058823,2,4
CIRP-00006,Healthcare,NCLT Chennai,2020-08-01,Resolution Plan Approved,609,11.36,37.6,48,19,1,0,1,2020,2.514465452029545,0.3958333333333333,2,1
CIRP-00007,Healthcare,NCLT Chennai,2018-04-10,Withdrawn (Sec 12A),1073,2893.52,53.01,112,1,0,0,1,2018,7.970574573151432,0.008928571428571428,2,1
CIRP-00008,Banking & Finance,NCLT Chennai,2017-12-09,Withdrawn (Sec 12A),320,46.43,55.74,40,18,0,1,1,2017,3.85925493988949,0.45,0,1
CIRP-00009,Infrastructure,NCLT Mumbai,2021-10-06,Appeal Pending,68,496.15,,28,3,1,1,0,2021,6.208891791426082,0.10714285714285714,4,5
CIRP-00010,IT / Technology,NCLT Chennai,2020-10-14,Resolution Plan Approved,1080,44.37,22.32,117,10,0,0,1,2020,3.8148510936758724,0.08547008547008547,3,1
CIRP-00011,Retail,NCLT Delhi,2017-05-17,Resolution Plan Approved,482,3.64,18.06,148,12,0,0,1,2017,1.534714366238164,0.08108108108108109,8,2
CIRP-00012,Real Estate,NCLT Delhi,2020-09-02,Appeal Pending,385,189.08,,138,5,0,1,0,2020,5.24744503617428,0.036231884057971016,7,2
CIRP-00013,IT / Technology,NCLT Delhi,2017-07-29,Ongoing,269,1635.07,,89,6,0,0,0,2017,7.400052303533406,0.06741573033707865,3,2
CIRP-00014,Telecom,NCLT Ahmedabad,2021-05-13,Liquidation Order,184,22.37,6.22,16,3,1,0,0,2021,3.1514531485507664,0.1875,9,0
CIRP-00015,Banking & Finance,NCLT Ahmedabad,2022-09-24,Settled,1095,7.78,85.58,89,8,0,0,1,2022,2.1724764076470255,0.0898876404494382,0,0
CIRP-00016,Real Estate,NCLT Mumbai,2021-05-21,Liquidation Order,570,15.6,2.35,57,3,0,0,0,2021,2.8094026953624978,0.05263157894736842,7,5
CIRP-00017,Real Estate,NCLT Delhi,2021-03-24,Appeal Pending,138,15.54,,97,3,0,1,0,2021,2.805781689595545,0.030927835051546393,7,2
CIRP-00018,Manufacturing,NCLT Delhi,2018-07-03,Settled,370,21.33,54.95,61,1,1,0,1,2018,3.1059310658520665,0.01639344262295082,5,2
CIRP-00019,Telecom,NCLT Chennai,2020-01-25,Ongoing,105,55.25,,87,4,0,1,0,2020,4.029806041084529,0.04597701149425287,9,1
CIRP-00020,IT / Technology,NCLT Ahmedabad,2019-04-30,Appeal Pending,183,106.41,,114,9,0,0,0,2019,4.676653287609955,0.07894736842105263,3,0
CIRP-00021,Telecom,NCLT Ahmedabad,2020-06-15,Ongoing,591,62.52,,110,13,0,0,0,2020,4.1513548169388805,0.11818181818181818,9,0
CIRP-00022,Others,NCLT Chennai,2019-05-26,Settled,375,3.36,61.87,7,20,1,0,1,2019,1.4724720573609429,2.857142857142857,6,1
CIRP-00023,Manufacturing,NCLT Delhi,2017-12-28,Ongoing,266,55.07,,133,1,0,0,0,2017,4.026600910135581,0.007518796992481203,5,2
CIRP-00024,Banking & Finance,NCLT Kolkata,2022-03-08,Appeal Pending,334,36.46,,118,14,0,0,0,2022,3.6232736970159425,0.11864406779661017,0,4
CIRP-00025,Healthcare,NCLT Kolkata,2018-04-14,Withdrawn (Sec 12A),793,7.78,53.22,26,12,0,0,1,2018,2.1724764076470255,0.46153846153846156,2,4
