case_id,case_type,court,court_hierarchy,state,sector,filing_date,disposal_date,duration_months,claim_amount_lakhs,claimant_lawyer_win_rate,respondent_is_govt,respondent_is_psu,num_prior_adjournments,has_interim_order,represented_by_senior_counsel,favourable_outcome,disposal_category,realisation_pct,filing_year,filing_quarter,case_age_months,log_claim_amount,claim_bucket,court_avg_duration,court_avg_win_rate,adjournment_density,case_type_enc,court_enc,state_enc,sector_enc,claim_bucket_enc
SYNTH-00000,Civil Suit,Commercial Court,2,Delhi,Banking & Finance,2016-03-03,2018-08-20,30,44.37,0.38,1,0,34,1,0,0,Settlement / Compromise,,2016,1,121.66666666666667,3.8148510936758724,10-50L,24.0,0.5288966725043783,0.2794520547945205,3,0,0,0,1
SYNTH-00001,Partition,High Court (Appeal),3,Telangana,Real Estate,2021-05-02,2026-02-05,58,536.22,0.58,0,0,34,0,0,1,Decree in favour of plaintiff,,2021,2,58.8,6.286407694037966,0.2-1Cr,42.0,0.46953405017921146,0.5782312925170068,11,4,7,7,0
SYNTH-00002,Consumer Dispute,High Court (Original),3,Gujarat,Healthcare,2019-06-25,2022-02-09,32,38.43,0.44,0,0,21,1,0,0,Withdrawn,,2019,2,81.36666666666666,3.674526947889536,10-50L,36.0,0.45454545454545453,0.2580909463334699,5,5,1,2,1
SYNTH-00003,Labour / Employment,NCLT,2,Punjab,Healthcare,2010-12-22,2016-05-24,66,172.63,0.65,0,0,24,1,0,0,Dismissed for default,,2010,4,184.93333333333334,5.156926598356047,50-200L,29.0,0.44669117647058826,0.12977649603460706,8,7,4,2,2
SYNTH-00004,Consumer Dispute,High Court (Appeal),3,West Bengal,IT / Technology,2011-07-24,2014-04-09,33,123.2,0.28,0,0,5,0,0,0,Dismissed for default,,2011,3,177.8,4.821893169499378,50-200L,42.0,0.46953405017921146,0.028121484814398197,5,4,9,3,2
SYNTH-00005,Appeal (HC),Consumer Forum (District),1,Tamil Nadu,Infrastructure,2018-03-08,2019-06-01,15,27.15,0.34,0,0,4,0,1,0,Dismissed for default,,2018,1,97.16666666666667,3.3375473545856993,10-50L,20.0,0.49544626593806923,0.041166380789022294,0,1,6,4,1
SYNTH-00006,Commercial Dispute,Consumer Forum (District),1,Tamil Nadu,Real Estate,2016-01-21,2017-11-11,22,3.1,0.79,0,0,20,0,0,1,Decree in favour of plaintiff,,2016,1,123.06666666666666,1.410986973710262,<10L,20.0,0.49544626593806923,0.16251354279523295,4,1,6,7,3
SYNTH-00007,Commercial Dispute,NCLAT,3,Rajasthan,Infrastructure,2016-01-03,2016-07-31,7,23.49,0.29,0,0,20,1,0,0,Settlement / Compromise,,2016,1,123.66666666666667,3.1982648709640764,10-50L,18.0,0.4585635359116022,0.16172506738544473,4,6,5,4,1
SYNTH-00008,Injunction,NCLT,2,Tamil Nadu,Infrastructure,2015-07-14,2017-01-04,18,87.48,0.66,0,0,27,0,0,0,Withdrawn,,2015,3,129.43333333333334,4.482776537774025,50-200L,29.0,0.44669117647058826,0.2086015967035797,7,7,6,4,2
SYNTH-00009,CIRP (IBC),Consumer Forum (State),2,Maharashtra,Retail,2012-01-15,2013-06-08,17,6.56,0.67,0,0,10,0,0,1,Decree in favour of plaintiff,49.21,2012,1,171.96666666666667,2.0228711901914416,<10L,27.0,0.4752475247524752,0.05815080441946113,2,2,3,8,3
SYNTH-00010,Writ (HC),Supreme Court,4,Uttar Pradesh,IT / Technology,2020-07-01,2024-03-12,45,64.48,0.54,0,0,0,0,1,1,Settlement / Compromise,,2020,3,68.96666666666667,4.181744752502934,50-200L,60.0,0.44227642276422763,0.0,13,8,8,3,2
SYNTH-00011,Money Recovery,NCLAT,3,Uttar Pradesh,Banking & Finance,2016-08-01,2017-05-28,10,95.92,0.49,0,0,16,0,0,1,Decree in favour of plaintiff,66.2,2016,3,116.63333333333334,4.573885895948325,50-200L,18.0,0.4585635359116022,0.1371820520148614,10,6,8,0,2
SYNTH-00012,IP Infringement,NCLT,2,Delhi,Others,2021-05-21,2023-10-08,29,11.17,0.58,0,0,34,0,0,0,Settlement / Compromise,,2021,2,58.166666666666664,2.498973906999436,10-50L,29.0,0.44669117647058826,0.5845272206303725,6,7,0,6,1
SYNTH-00013,CIRP (IBC),NCLAT,3,Punjab,Banking & Finance,2010-06-09,2012-08-27,27,8.75,0.31,0,0,19,1,0,1,Decree in favour of plaintiff,56.33,2010,2,191.46666666666667,2.277267285009756,<10L,18.0,0.4585635359116022,0.09923398328690808,2,6,4,0,3
SYNTH-00014,Consumer Dispute,Commercial Court,2,Uttar Pradesh,Infrastructure,2020-11-25,2023-09-11,34,70.6,0.7,0,0,8,1,0,1,Decree in favour of plaintiff,,2020,4,64.06666666666666,4.2710950739666,50-200L,24.0,0.5288966725043783,0.12486992715920917,5,0,8,4,2
SYNTH-00015,Liquidation (IBC),NCLT,2,Gujarat,Telecom,2019-06-29,2021-10-16,28,34.76,0.78,0,0,12,0,0,1,Decree in favour of plaintiff,21.53,2019,2,81.23333333333333,3.576829950305313,10-50L,29.0,0.44669117647058826,0.14772260976610588,9,7,1,9,1
SYNTH-00016,CIRP (IBC),Consumer Forum (State),2,Maharashtra,Real Estate,2012-09-18,2015-06-05,33,3.88,0.39,1,1,35,1,0,0,Dismissed on merits,0.45,2012,3,163.73333333333332,1.5851452198650557,<10L,27.0,0.4752475247524752,0.21376221498371337,2,2,3,7,3
SYNTH-00017,Money Recovery,High Court (Appeal),3,Punjab,Others,2010-09-15,2016-01-17,65,15.51,0.72,1,0,31,1,1,1,Decree in favour of plaintiff,88.2,2010,3,188.2,2.8039662579320366,10-50L,42.0,0.46953405017921146,0.1647183846971307,10,4,4,6,1
SYNTH-00018,Partition,Consumer Forum (District),1,Delhi,Banking & Finance,2020-08-10,2023-05-27,34,10.39,0.69,0,1,27,0,0,1,Decree in favour of plaintiff,,2020,3,67.63333333333334,2.432735777459091,10-50L,20.0,0.49544626593806923,0.39921143420404137,11,1,0,0,1
SYNTH-00019,Commercial Dispute,District Court,1,Telangana,Telecom,2017-08-11,2019-09-30,26,184.71,0.69,1,0,34,0,0,0,Settlement / Compromise,,2017,3,104.13333333333334,5.224186317204961,50-200L,47.0,0.4567219152854512,0.32650448143405886,4,3,7,9,2
SYNTH-00020,IP Infringement,High Court (Appeal),3,Delhi,Banking & Finance,2011-09-10,2018-06-05,82,49.01,0.49,0,0,3,0,0,1,Decree in favour of plaintiff,,2011,3,176.2,3.9122229854308124,10-50L,42.0,0.46953405017921146,0.0170261066969353,6,4,0,0,1
SYNTH-00021,Injunction,High Court (Appeal),3,West Bengal,IT / Technology,2019-02-12,2024-10-13,69,93.92,0.52,0,0,3,1,1,1,Decree in favour of plaintiff,,2019,1,85.8,4.553034431567563,50-200L,42.0,0.46953405017921146,0.03496503496503497,7,4,9,3,2
SYNTH-00022,Specific Performance,Consumer Forum (District),1,Delhi,Others,2019-06-28,2020-08-21,14,93.89,0.63,0,0,31,1,0,1,Decree in favour of plaintiff,,2019,2,81.26666666666667,4.552718325985667,50-200L,20.0,0.49544626593806923,0.38146021328958163,12,1,0,6,2
SYNTH-00023,Civil Suit,Consumer Forum (State),2,Maharashtra,Infrastructure,2017-01-13,2021-12-18,60,51.74,0.28,0,0,33,1,0,0,Dismissed on merits,,2017,1,111.13333333333334,3.965374180925141,50-200L,27.0,0.4752475247524752,0.29694061187762444,3,2,3,4,2
SYNTH-00024,Writ (HC),Commercial Court,2,Punjab,Banking & Finance,2011-07-11,2015-10-18,52,1.07,0.62,0,0,36,1,0,0,Dismissed for default,,2011,3,178.23333333333332,0.7275486072772778,<10L,24.0,0.5288966725043783,0.2019824200486254,13,0,4,0,3
SYNTH-00025,Appeal (HC),Supreme Court,4,Telangana,Telecom,2021-09-22,2029-02-12,90,62.21,0.42,0,0,20,1,0,0,Dismissed on merits,,2021,3,54.03333333333333,4.146462516484207,50-200L,60.0,0.44227642276422763,0.3701418877236274,0,8,7,9,2
SYNTH-00026,Labour / Employment,NCLAT,3,Telangana,Infrastructure,2011-08-18,2012-11-10,15,62.65,0.26,0,0,6,1,0,0,Transferred,,2011,3,176.96666666666667,4.153399325003416,50-200L,18.0,0.4585635359116022,0.033904690148803915,8,6,7,4,2
SYNTH-00027,Money Recovery,NCLAT,3,Uttar Pradesh,Real Estate,2015-06-25,2015-12-22,6,39.27,0.45,0,0,19,0,0,1,Settlement / Compromise,83.72,2015,2,130.06666666666666,3.695606774863363,10-50L,18.0,0.4585635359116022,0.14607893388006152,10,6,8,7,1
SYNTH-00028,Specific Performance,Consumer Forum (State),2,Telangana,Others,2012-04-28,2015-08-11,40,16.24,0.77,1,0,6,0,1,0,Settlement / Compromise,,2012,2,168.5,2.847232265235547,10-50L,27.0,0.4752475247524752,0.03560830860534125,12,2,7,6,1
SYNTH-00029,Consumer Dispute,High Court (Appeal),3,Delhi,Banking & Finance,2017-09-09,2020-04-26,32,215.53,0.36,0,0,31,1,0,1,Decree in favour of plaintiff,,2017,3,103.16666666666667,5.3777291059721986,0.2-1Cr,42.0,0.46953405017921146,0.30048465266558966,5,4,0,0,0
SYNTH-00030,IP Infringement,Supreme Court,4,West Bengal,Energy,2016-03-16,2021-12-15,70,24.66,0.27,0,0,16,1,0,0,Dismissed on merits,,2016,1,121.23333333333333,3.2449333591874905,10-50L,60.0,0.44227642276422763,0.1319769040417927,6,8,9,1,1
SYNTH-00031,Money Recovery,District Court,1,Karnataka,Retail,2011-09-09,2016-10-12,62,63.16,0.77,0,0,2,0,0,1,Decree in favour of plaintiff,82.34,2011,3,176.23333333333332,4.161379963558259,50-200L,47.0,0.4567219152854512,0.011348590883298659,10,3,2,8,2
SYNTH-00032,Civil Suit,High Court (Original),3,Tamil Nadu,Banking & Finance,2016-11-30,2021-01-08,50,30.32,0.45,0,0,2,0,0,1,Settlement / Compromise,,2016,4,112.6,3.4442568711226023,10-50L,36.0,0.45454545454545453,0.017761989342806397,3,5,6,0,1
SYNTH-00033,Labour / Employment,NCLAT,3,Karnataka,Retail,2019-02-12,2019-10-10,8,85.13,0.79,0,0,15,0,0,0,Dismissed on merits,,2019,1,85.8,4.455857782801083,50-200L,18.0,0.4585635359116022,0.17482517482517482,8,6,2,8,2
SYNTH-00034,Injunction,District Court,1,Maharashtra,Retail,2017-06-14,2021-11-20,54,55.02,0.68,0,0,15,1,0,1,Settlement / Compromise,,2017,2,106.06666666666666,4.0257087698319625,50-200L,47.0,0.4567219152854512,0.14142049025769957,7,3,3,8,2
SYNTH-00035,IP Infringement,District Court,1,Tamil Nadu,Real Estate,2020-07-22,2024-01-03,42,6.53,0.37,0,0,19,0,0,0,Withdrawn,,2020,3,68.26666666666667,2.018895041811802,<10L,47.0,0.4567219152854512,0.2783203125,6,3,6,7,3
SYNTH-00036,Commercial Dispute,High Court (Appeal),3,Uttar Pradesh,Healthcare,2017-05-13,2020-02-27,34,32.65,0.4,1,0,22,0,0,0,Dismissed on merits,,2017,2,107.13333333333334,3.5160130560907366,10-50L,42.0,0.46953405017921146,0.20535158680771623,4,4,8,2,1
SYNTH-00037,Money Recovery,District Court,1,Gujarat,Retail,2015-11-10,2018-06-27,32,42.87,0.35,0,0,6,0,0,0,Dismissed for default,5.33,2015,4,125.46666666666667,3.7812307151781224,10-50L,47.0,0.4567219152854512,0.04782146652497343,10,3,1,8,1
SYNTH-00038,Money Recovery,Consumer Forum (State),2,Uttar Pradesh,Manufacturing,2018-08-22,2021-03-09,31,48.83,0.74,0,1,27,1,0,1,Settlement / Compromise,41.51,2018,3,91.6,3.908617212293313,10-50L,27.0,0.4752475247524752,0.29475982532751094,10,2,8,5,1
SYNTH-00039,Commercial Dispute,NCLAT,3,Telangana,Retail,2011-07-28,2013-01-18,18,2197.03,0.77,0,0,7,0,0,1,Decree in favour of plaintiff,,2011,3,177.66666666666666,7.695316783642034,>1Cr,18.0,0.4585635359116022,0.039399624765478425,4,6,7,8,4
SYNTH-00040,Commercial Dispute,NCLAT,3,Punjab,Others,2016-08-19,2017-12-12,16,85.83,0.55,0,0,24,0,0,0,Transferred,,2016,3,116.03333333333333,4.463952184072554,50-200L,18.0,0.4585635359116022,0.20683711577133007,4,6,4,6,2
SYNTH-00041,Commercial Dispute,NCLT,2,Rajasthan,Manufacturing,2010-01-04,2012-05-23,29,9.46,0.42,0,0,38,0,0,1,Decree in favour of plaintiff,,2010,1,196.66666666666666,2.347558458636777,<10L,29.0,0.44669117647058826,0.19322033898305085,4,7,5,5,3
SYNTH-00042,CIRP (IBC),Consumer Forum (State),2,Tamil Nadu,IT / Technology,2013-10-22,2017-10-31,49,168.66,0.61,0,0,39,1,0,0,Settlement / Compromise,1.56,2013,4,150.43333333333334,5.1337964343795885,50-200L,27.0,0.4752475247524752,0.2592510525149568,2,2,6,3,2
SYNTH-00043,Labour / Employment,High Court (Appeal),3,West Bengal,Others,2014-06-20,2021-04-14,83,131.67,0.33,1,0,39,0,1,0,Transferred,,2014,2,142.4,4.887864841928826,50-200L,42.0,0.46953405017921146,0.273876404494382,8,4,9,6,2
SYNTH-00044,Consumer Dispute,High Court (Appeal),3,Maharashtra,Retail,2018-08-12,2028-11-17,125,12.36,0.52,0,0,0,0,0,0,Transferred,,2018,3,91.93333333333334,2.5922651681085,10-50L,42.0,0.46953405017921146,0.0,5,4,3,8,1
SYNTH-00045,Injunction,High Court (Appeal),3,Uttar Pradesh,Energy,2021-08-14,2024-03-01,31,63.4,0.51,0,0,7,0,0,1,Settlement / Compromise,,2021,3,55.333333333333336,4.165113633110308,50-200L,42.0,0.46953405017921146,0.12650602409638553,7,4,8,1,2
SYNTH-00046,Labour / Employment,NCLAT,3,Rajasthan,Telecom,2019-12-05,2020-12-29,13,5.33,0.59,0,0,35,0,1,1,Settlement / Compromise,,2019,4,75.93333333333334,1.8453002361560848,<10L,18.0,0.4585635359116022,0.4609306409130816,8,6,5,9,3
SYNTH-00047,Labour / Employment,NCLT,2,Maharashtra,IT / Technology,2015-07-19,2018-02-03,31,11.1,0.71,0,0,31,0,0,0,Dismissed on merits,,2015,3,129.26666666666668,2.4932054526026954,10-50L,29.0,0.44669117647058826,0.23981433728726145,8,7,3,3,1
SYNTH-00048,Specific Performance,High Court (Appeal),3,Tamil Nadu,Banking & Finance,2017-07-14,2021-11-20,53,13.75,0.43,0,0,14,0,1,0,Withdrawn,,2017,3,105.06666666666666,2.691243082785829,10-50L,42.0,0.46953405017921146,0.13324873096446702,12,4,6,0,1
SYNTH-00049,Commercial Dispute,Supreme Court,4,Delhi,Others,2017-06-03,2028-02-06,130,16.86,0.55,0,0,26,0,0,0,Dismissed on merits,,2017,2,106.43333333333334,2.882563575448353,10-50L,60.0,0.44227642276422763,0.24428437206388975,4,8,0,6,1
