cirp_id,sector,bench,admission_date,resolution_status,duration_days,admitted_claim_cr,realisation_pct,no_of_financial_creditors,resolution_applicants_received,ip_changed,litigation_pending,favourable_outcome
CIRP-00000,Telecom,NCLT Kolkata,2017-06-07,Withdrawn (Sec 12A),354,80.33,63.77,25,14,0,0,1
CIRP-00001,Others,NCLT Ahmedabad,2022-10-07,Appeal Pending,411,9.82,,112,12,0,0,0
CIRP-00002,Banking & Finance,NCLT Delhi,2018-05-26,Appeal Pending,187,115.27,,132,15,1,0,0
CIRP-00003,Retail,NCLT Mumbai,2022-09-07,Withdrawn (Sec 12A),432,1113.54,77.43,13,18,1,0,1
CIRP-00004,Banking & Finance,NCLT Ahmedabad,2018-11-10,Withdrawn (Sec 12A),623,32.47,73.4,27,18,0,0,1
CIRP-00005,Healthcare,NCLT Kolkata,2017-09-08,Resolution Plan Approved,996,38.94,39.5,136,14,0,0,1
CIRP-00006,Healthcare,NCLT Chennai,2020-08-01,Resolution Plan Approved,609,11.36,37.6,48,19,1,0,1
CIRP-00007,Healthcare,NCLT Chennai,2018-04-10,Withdrawn (Sec 12A),1073,2893.52,53.01,112,1,0,0,1
CIRP-00008,Banking & Finance,NCLT Chennai,2017-12-09,Withdrawn (Sec 12A),320,46.43,55.74,40,18,0,1,1
CIRP-00009,Infrastructure,NCLT Mumbai,2021-10-06,Appeal Pending,68,496.15,,28,3,1,1,0
CIRP-00010,IT / Technology,NCLT Chennai,2020-10-14,Resolution Plan Approved,1080,44.37,22.32,117,10,0,0,1
CIRP-00011,Retail,NCLT Delhi,2017-05-17,Resolution Plan Approved,482,3.64,18.06,148,12,0,0,1
CIRP-00012,Real Estate,NCLT Delhi,2020-09-02,Appeal Pending,385,189.08,,138,5,0,1,0
CIRP-00013,IT / Technology,NCLT Delhi,2017-07-29,Ongoing,269,1635.07,,89,6,0,0,0
CIRP-00014,Telecom,NCLT Ahmedabad,2021-05-13,Liquidation Order,184,22.37,6.22,16,3,1,0,0
CIRP-00015,Banking & Finance,NCLT Ahmedabad,2022-09-24,Settled,1095,7.78,85.58,89,8,0,0,1
CIRP-00016,Real Estate,NCLT Mumbai,2021-05-21,Liquidation Order,570,15.6,2.35,57,3,0,0,0
CIRP-00017,Real Estate,NCLT Delhi,2021-03-24,Appeal Pending,138,15.54,,97,3,0,1,0
CIRP-00018,Manufacturing,NCLT Delhi,2018-07-03,Settled,370,21.33,54.95,61,1,1,0,1
CIRP-00019,Telecom,NCLT Chennai,2020-01-25,Ongoing,105,55.25,,87,4,0,1,0
CIRP-00020,IT / Technology,NCLT Ahmedabad,2019-04-30,Appeal Pending,183,106.41,,114,9,0,0,0
CIRP-00021,Telecom,NCLT Ahmedabad,2020-06-15,Ongoing,591,62.52,,110,13,0,0,0
CIRP-00022,Others,NCLT Chennai,2019-05-26,Settled,375,3.36,61.87,7,20,1,0,1
CIRP-00023,Manufacturing,NCLT Delhi,2017-12-28,Ongoing,266,55.07,,133,1,0,0,0
CIRP-00024,Banking & Finance,NCLT Kolkata,2022-03-08,Appeal Pending,334,36.46,,118,14,0,0,0
CIRP-00025,Healthcare,NCLT Kolkata,2018-04-14,Withdrawn (Sec 12A),793,7.78,53.22,26,12,0,0,1
CIRP-00026,Telecom,NCLT Delhi,2020-06-22,Liquidation Order,544,52.67,0.31,96,9,0,1,0
CIRP-00027,Infrastructure,NCLT Kolkata,2020-04-17,Settled,159,190.44,78.25,34,4,0,1,1
CIRP-00028,IT / Technology,NCLT Hyderabad,2022-09-10,Ongoing,224,148.91,,100,16,0,1,0
CIRP-00029,Healthcare,NCLT Delhi,2018-03-11,Ongoing,557,323.66,,27,13,0,0,0
CIRP-00030,Others,NCLT Chennai,2019-11-10,Resolution Plan Approved,375,71.5,61.03,133,12,1,0,1
CIRP-00031,Energy,NCLT Chennai,2022-02-24,Settled,1024,10.7,54.52,28,0,0,0,1
CIRP-00032,Manufacturing,NCLT Hyderabad,2017-11-09,Withdrawn (Sec 12A),280,16.64,54.65,23,17,0,1,1
CIRP-00033,Banking & Finance,NCLT Kolkata,2019-02-02,Withdrawn (Sec 12A),74,594.31,53.43,85,1,1,0,1
CIRP-00034,Healthcare,NCLT Delhi,2020-08-09,Liquidation Order,106,63.24,1.87,84,3,0,1,0
CIRP-00035,Manufacturing,NCLT Ahmedabad,2017-12-08,Liquidation Order,273,15.97,0.82,55,7,1,0,0
CIRP-00036,Real Estate,NCLT Mumbai,2018-03-31,Resolution Plan Approved,682,17.02,32.33,129,7,0,0,1
CIRP-00037,Telecom,NCLT Ahmedabad,2019-02-03,Liquidation Order,717,8.59,8.06,106,20,0,0,0
CIRP-00038,Others,NCLT Chennai,2020-09-09,Appeal Pending,411,133.56,,53,14,0,0,0
CIRP-00039,Telecom,NCLT Mumbai,2022-06-10,Resolution Plan Approved,376,41.72,40.18,149,5,0,1,1
CIRP-00040,Banking & Finance,NCLT Mumbai,2021-12-23,Resolution Plan Approved,1005,2.64,31.91,6,20,0,0,1
CIRP-00041,Manufacturing,NCLT Hyderabad,2022-08-22,Settled,867,22.67,63.84,3,7,0,1,1
CIRP-00042,Energy,NCLT Ahmedabad,2017-12-19,Liquidation Order,82,71.65,1.42,19,20,1,0,0
CIRP-00043,Energy,NCLT Ahmedabad,2017-09-20,Liquidation Order,270,57.61,9.48,111,16,0,0,0
CIRP-00044,Retail,NCLT Ahmedabad,2020-08-06,Withdrawn (Sec 12A),639,10.12,59.65,6,14,0,1,1
CIRP-00045,Retail,NCLT Kolkata,2017-02-12,Resolution Plan Approved,100,2.8,32.57,65,17,0,0,1
CIRP-00046,Retail,NCLT Kolkata,2020-06-11,Resolution Plan Approved,315,52.87,53.62,70,10,1,1,1
CIRP-00047,Retail,NCLT Kolkata,2019-06-06,Settled,313,67.57,36.94,93,18,0,0,1
CIRP-00048,Infrastructure,NCLT Mumbai,2022-07-24,Withdrawn (Sec 12A),1090,9.84,55.56,114,13,0,1,1
CIRP-00049,Retail,NCLT Mumbai,2019-12-28,Withdrawn (Sec 12A),1072,79.22,80.45,81,10,0,0,1
CIRP-00050,Energy,NCLT Hyderabad,2022-09-14,Settled,956,50.52,39.25,66,12,0,0,1
CIRP-00051,Infrastructure,NCLT Kolkata,2017-05-25,Resolution Plan Approved,89,2619.45,43.0,49,11,0,0,1
CIRP-00052,Retail,NCLT Ahmedabad,2018-09-28,Settled,961,89.82,71.57,2,8,0,1,1
CIRP-00053,Others,NCLT Ahmedabad,2020-07-06,Withdrawn (Sec 12A),78,21.95,53.35,45,1,0,0,1
CIRP-00054,IT / Technology,NCLT Delhi,2018-05-07,Appeal Pending,374,265.32,,59,0,0,1,0
CIRP-00055,Energy,NCLT Mumbai,2019-12-13,Liquidation Order,963,243.34,4.67,43,2,0,0,0
CIRP-00056,Banking & Finance,NCLT Kolkata,2018-07-09,Settled,796,23.86,51.07,115,11,0,0,1
CIRP-00057,Banking & Finance,NCLT Delhi,2022-05-25,Settled,197,49.34,45.47,33,15,0,0,1
CIRP-00058,Telecom,NCLT Ahmedabad,2017-09-08,Appeal Pending,183,1896.59,,145,11,0,0,0
CIRP-00059,Infrastructure,NCLT Chennai,2017-03-21,Liquidation Order,560,1162.52,1.08,87,2,0,0,0
CIRP-00060,Retail,NCLT Kolkata,2021-12-27,Ongoing,43,47.14,,76,16,0,1,0
CIRP-00061,Manufacturing,NCLT Chennai,2022-10-31,Appeal Pending,366,17.73,,62,10,0,0,0
CIRP-00062,Telecom,NCLT Chennai,2020-03-22,Withdrawn (Sec 12A),292,28.92,60.61,84,3,0,1,1
